ID	ACO1	ACO2	ACO3	ACO4	ACO5	AO1	AO2	AO3	AO4	AO5	B1	B2	B3	B4	B5	BO1	BO2	BO3	BO4	BO5	CO1	CO2	CO3	CO4	CO5	nCO1	nCO2	nCO3	nCO4	nCO5
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae	0.0	11.76963	0.0	25.95921	45.69857	0.58269	22.80986	43.04263	32.52274	16.41062	13.404	1.10481	82.72878	98.21756	79.89289	86.58929	19.74084	37.90864	38.56318	0.1881	12.45683	2.74016	18.50583	18.54117	7.40778	2.68319	24.66182	0.05141	4.4198	4.85977
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter	0.0	11.76963	0.0	25.95921	45.69857	0.58269	22.80986	43.04263	32.52274	16.13025	13.404	1.06039	82.13205	97.95182	79.56358	86.57233	19.57877	37.90864	38.56318	0.1881	12.02592	2.74016	18.42072	18.54117	7.40778	2.68047	24.62691	0.05141	4.4198	4.85977
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_aceti	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_aceti|t__Acetobacter_aceti_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_pasteurianus	0.0	2.36353	0.0	0.04281	6.67417	0.58269	4.75265	3.8359	2.78779	0.0	0.4277	0.0	23.22162	14.62025	18.0015	14.34409	2.79616	7.73604	4.56005	0.01361	2.79531	0.61077	4.19179	3.15571	1.36405	0.56929	4.85718	0.01056	0.84925	1.71914
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_pasteurianus|t__Acetobacter_pasteurianus_unclassified	0.0	2.36353	0.0	0.04281	6.67417	0.58269	4.75265	3.8359	2.78779	0.0	0.4277	0.0	23.22162	14.62025	18.0015	14.34409	2.79616	7.73604	4.56005	0.01361	2.79531	0.61077	4.19179	3.15571	1.36405	0.56929	4.85718	0.01056	0.84925	1.71914
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_unclassified	0.0	9.40609	0.0	25.91641	39.0244	0.0	18.05721	39.20673	29.73495	16.13025	12.97631	1.06039	58.08779	83.33157	61.56208	72.22824	16.78261	30.1726	34.00313	0.17449	9.23061	2.12939	14.22893	15.38546	6.04372	2.11118	19.76974	0.04084	3.57055	3.14063
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Gluconacetobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28037	0.0	0.04442	0.59673	0.26573	0.32931	0.01696	0.16207	0.0	0.0	0.0	0.4309	0.0	0.08511	0.0	0.0	0.00272	0.0349	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Gluconacetobacter|s__Gluconacetobacter_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28037	0.0	0.04442	0.59673	0.21488	0.2981	0.0	0.14682	0.0	0.0	0.0	0.4309	0.0	0.06909	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Gluconacetobacter|s__Gluconacetobacter_xylinus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05085	0.03121	0.01696	0.01525	0.0	0.0	0.0	0.0	0.0	0.01601	0.0	0.0	0.00272	0.0349	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Gluconacetobacter|s__Gluconacetobacter_xylinus|t__GCF_000182745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05085	0.03121	0.01696	0.01525	0.0	0.0	0.0	0.0	0.0	0.01601	0.0	0.0	0.00272	0.0349	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	0.0	0.0	0.0	64.94904	0.0	0.0	0.0	0.0	0.0	0.0	0.46548	94.8819	0.0	0.03538	0.0	8.66797	79.9163	50.96981	1.0543	99.74938	78.88541	96.51869	61.66447	78.86817	89.50798	96.06692	66.49176	99.91298	94.38783	93.58146
